,BBC_URL
0,http://www.bbc.co.uk/news/uk-wales-45023075
1,http://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-43199651
2,http://www.bbc.co.uk/news/magazine-33049093
3,https://www.bbc.co.uk/news/newsbeat-46983805
4,http://www.bbc.co.uk/news/10280806
5,http://news.bbc.co.uk/local/wiltshire/hi/people_and_places/newsid_8318000/8318089.stm
6,http://www.bbc.co.uk/news/newsbeat-43864023
7,http://www.bbc.co.uk/news/uk-wales-south-west-wales-44977801
8,https://www.bbc.co.uk/news/uk-england-london-45336300
9,http://www.bbc.co.uk/news/uk-england-38416940
10,http://www.bbc.co.uk/news/uk-44009040
11,http://www.bbc.co.uk/news/entertainment-arts-40923379
12,http://www.bbc.co.uk/news/business-43485981
13,http://www.bbc.co.uk/news/health-42165252
14,http://www.bbc.co.uk/news/uk-england-43921760
15,http://www.bbc.co.uk/news/uk-scotland-tayside-central-37430936
16,http://www.bbc.co.uk/news/uk-43505784
17,http://www.bbc.co.uk/news/uk-northern-ireland-28197446
18,http://www.bbc.co.uk/news/entertainment-arts-20610496
19,http://www.bbc.co.uk/news/uk-england-devon-34651800
20,http://www.bbc.co.uk/news/stories-42731383
21,http://www.bbc.co.uk/news/uk-scotland-glasgow-west-35920983
22,http://www.bbc.co.uk/news/blogs-news-from-elsewhere-34187022
23,http://www.bbc.co.uk/news/blogs-magazine-monitor-33051778
24,http://www.bbc.co.uk/news/uk-31861012
25,http://www.bbc.co.uk/news/entertainment-arts-24072865
26,http://www.bbc.co.uk/news/uk-england-devon-16326202
27,http://www.bbc.co.uk/news/election-2017-39894337
28,http://www.bbc.co.uk/news/business-40945709
29,http://www.bbc.co.uk/news/uk-politics-18205383
30,http://www.bbc.co.uk/news/blogs-trending-29555344
31,http://www.bbc.co.uk/news/uk-england-manchester-14567297
32,http://www.bbc.co.uk/news/uk-england-berkshire-29175919
33,http://www.bbc.co.uk/news/uk-northern-ireland-36036067
34,http://www.bbc.co.uk/blogs/magazinemonitor/2012/08/10_things_we_didnt_know_last_w_238.shtml
35,https://www.bbc.co.uk/news/uk-england-39508229
36,http://news.bbc.co.uk/today/hi/today/newsid_9725000/9725162.stm
37,http://news.bbc.co.uk/1/hi/england/7488767.stm
38,http://www.bbc.co.uk/news/world-asia-india-30791795
39,http://www.bbc.co.uk/news/uk-england-manchester-30779413
40,http://www.bbc.co.uk/news/entertainment-arts-30273401
41,http://news.bbc.co.uk/1/hi/entertainment/8391624.stm
42,http://news.bbc.co.uk/1/hi/entertainment/6175129.stm
43,http://news.bbc.co.uk/1/hi/entertainment/6205556.stm
44,http://news.bbc.co.uk/1/hi/england/north_yorkshire/8503968.stm
45,http://news.bbc.co.uk/1/hi/entertainment/7023388.stm
46,http://www.bbc.co.uk/news/uk-21732018
47,http://www.bbc.co.uk/blogs/magazinemonitor/2012/07/your_letters_1449.shtml
48,http://www.bbc.co.uk/news/uk-england-york-north-yorkshire-18409309
49,http://www.bbc.co.uk/news/uk-scotland-tayside-central-22517680
50,http://www.bbc.co.uk/news/uk-england-devon-18203896
51,http://news.bbc.co.uk/1/hi/england/2747761.stm
52,http://www.bbc.co.uk/news/entertainment-arts-26921335
53,http://www.bbc.co.uk/news/disability-38102932
54,http://www.bbc.co.uk/news/magazine-24942277
55,http://www.bbc.co.uk/news/uk-england-suffolk-14476463
56,http://www.bbc.co.uk/news/entertainment-arts-35475143
57,http://www.bbc.co.uk/news/uk-england-norfolk-16367523
58,http://www.bbc.co.uk/news/world-us-canada-12575190
59,http://www.bbc.co.uk/news/uk-northern-ireland-28445420
60,http://news.bbc.co.uk/1/hi/england/london/8580388.stm
61,http://news.bbc.co.uk/1/hi/scotland/tayside_and_central/7250576.stm
62,http://news.bbc.co.uk/1/hi/england/tees/8505636.stm
63,http://www.bbc.co.uk/news/uk-england-cornwall-12954965
64,http://news.bbc.co.uk/1/hi/england/tyne/8416507.stm
65,http://www.bbc.co.uk/news/magazine-25639406
66,http://news.bbc.co.uk/1/hi/entertainment/8294175.stm
67,http://news.bbc.co.uk/1/hi/england/gloucestershire/8186117.stm
68,http://news.bbc.co.uk/local/essex/hi/people_and_places/religion_and_ethics/newsid_8482000/8482753.stm
69,http://www.bbc.co.uk/news/blogs-magazine-monitor-31963434
70,http://www.bbc.co.uk/news/health-22336753
71,http://www.bbc.co.uk/news/uk-scotland-glasgow-west-15092249
72,http://www.bbc.co.uk/news/uk-england-manchester-14573000
73,http://news.bbc.co.uk/1/hi/entertainment/8298469.stm
74,http://www.bbc.co.uk/news/uk-england-stoke-staffordshire-13617340
75,http://news.bbc.co.uk/1/hi/scotland/glasgow_and_west/7258505.stm
76,http://news.bbc.co.uk/1/hi/scotland/glasgow_and_west/7204674.stm
77,http://news.bbc.co.uk/1/hi/magazine/4532227.stm
78,http://news.bbc.co.uk/1/hi/entertainment/6961675.stm
79,http://www.bbc.co.uk/news/uk-england-tyne-11954284
80,http://www.bbc.co.uk/news/magazine-33561051
81,http://news.bbc.co.uk/1/hi/entertainment/6913954.stm
82,http://news.bbc.co.uk/1/hi/scotland/tayside_and_central/7883445.stm
83,http://news.bbc.co.uk/1/hi/entertainment/6252598.stm
84,http://news.bbc.co.uk/1/hi/entertainment/6695833.stm
85,http://news.bbc.co.uk/1/hi/business/6641669.stm
86,http://www.bbc.co.uk/news/entertainment-arts-12811251
87,http://www.bbc.co.uk/news/magazine-28106549
88,http://news.bbc.co.uk/1/hi/world/europe/guernsey/6354353.stm
89,http://news.bbc.co.uk/1/hi/england/2708859.stm
90,http://news.bbc.co.uk/1/hi/england/tyne/7398864.stm
91,http://www.bbc.co.uk/news/uk-44601218
92,http://news.bbc.co.uk/1/hi/entertainment/8469970.stm
93,http://www.bbc.co.uk/news/uk-england-merseyside-16716815
94,http://news.bbc.co.uk/1/hi/scotland/tayside_and_central/8397925.stm
95,http://news.bbc.co.uk/1/hi/scotland/glasgow_and_west/6521693.stm
96,http://news.bbc.co.uk/1/hi/scotland/edinburgh_and_east/8215129.stm
97,http://news.bbc.co.uk/1/hi/entertainment/5261402.stm
98,http://news.bbc.co.uk/panorama/hi/front_page/newsid_9551000/9551560.stm
99,http://news.bbc.co.uk/1/hi/scotland/2450309.stm
100,http://news.bbc.co.uk/1/hi/world/americas/6425581.stm
101,http://news.bbc.co.uk/1/hi/england/tyne/7960064.stm
102,http://www.bbc.co.uk/news/uk-24281043
103,http://news.bbc.co.uk/1/hi/school_report/news_day_2009/7966254.stm
104,http://www.bbc.co.uk/news/uk-england-manchester-22566887
105,http://news.bbc.co.uk/1/hi/entertainment/6273823.stm
106,http://www.bbc.co.uk/news/uk-england-dorset-12525969
107,http://news.bbc.co.uk/1/hi/england/3737591.stm
108,http://news.bbc.co.uk/hi/english/uk/wales/newsid_1951000/1951014.stm
109,http://www.bbc.co.uk/news/uk-england-london-11375518
110,http://news.bbc.co.uk/1/hi/england/london/4528886.stm
111,http://news.bbc.co.uk/1/hi/scotland/glasgow_and_west/7206916.stm
112,http://news.bbc.co.uk/1/hi/health/7163062.stm
113,http://www.bbc.co.uk/news/10294419
114,http://www.bbc.co.uk/news/health-20498044
115,http://www.bbc.co.uk/news/uk-politics-20141737
116,http://www.bbc.co.uk/news/uk-england-tees-19507086
117,http://news.bbc.co.uk/local/kent/hi/tv_and_radio/newsid_8428000/8428494.stm
118,http://news.bbc.co.uk/1/hi/england/norfolk/3833699.stm
119,http://www.bbc.co.uk/news/uk-politics-18172102
120,http://www.bbc.co.uk/news/uk-politics-18172102
121,http://news.bbc.co.uk/1/hi/entertainment/film/3523034.stm
122,http://news.bbc.co.uk/1/hi/entertainment/6050964.stm
123,http://www.bbc.co.uk/news/world-asia-24044337
124,http://news.bbc.co.uk/1/hi/entertainment/5289328.stm
125,http://news.bbc.co.uk/1/hi/programmes/newsnight/5253842.stm
126,http://news.bbc.co.uk/1/hi/uk/7998334.stm
127,http://news.bbc.co.uk/1/hi/england/3189291.stm
128,http://news.bbc.co.uk/hi/english/entertainment/newsid_145000/145383.stm
129,http://news.bbc.co.uk/1/hi/scotland/7853350.stm
130,http://news.bbc.co.uk/hi/english/uk/newsid_99000/99959.stm
131,http://news.bbc.co.uk/1/hi/entertainment/tv_and_radio/2742295.stm
132,http://news.bbc.co.uk/1/hi/england/merseyside/4249976.stm
133,http://news.bbc.co.uk/1/hi/england/lancashire/7636040.stm
134,http://news.bbc.co.uk/1/hi/scotland/tayside_and_central/7511667.stm
135,http://www.bbc.co.uk/news/health-21319874
136,http://www.bbc.co.uk/blogs/worldtonight/2011/07/news_of_the_world_no_reason_to.html
137,http://news.bbc.co.uk/1/hi/programmes/4263828.stm
138,http://news.bbc.co.uk/1/hi/scotland/glasgow_and_west/7302461.stm
139,http://news.bbc.co.uk/1/hi/scotland/7271402.stm
140,http://www.bbc.co.uk/news/entertainment-arts-20525144
141,http://news.bbc.co.uk/1/hi/health/7201218.stm
142,http://www.bbc.co.uk/news/entertainment-arts-13014519
143,http://news.bbc.co.uk/1/hi/programmes/real_story/3928043.stm
144,http://news.bbc.co.uk/local/threecounties/hi/people_and_places/newsid_9328000/9328405.stm
145,http://news.bbc.co.uk/1/hi/uk/6928779.stm
146,http://news.bbc.co.uk/1/hi/england/kent/6925627.stm
147,http://news.bbc.co.uk/1/hi/health/3485271.stm
148,http://news.bbc.co.uk/1/hi/england/kent/6295094.stm
149,http://www.bbc.co.uk/news/uk-england-london-11486194
150,http://news.bbc.co.uk/1/hi/health/3158146.stm
151,http://www.bbc.co.uk/news/world-us-canada-11302388
152,http://news.bbc.co.uk/1/hi/entertainment/showbiz/3121832.stm
153,http://news.bbc.co.uk/hi/english/entertainment/newsid_771000/771226.stm
154,http://www.bbc.co.uk/news/10536573
155,http://news.bbc.co.uk/1/hi/entertainment/tv_and_radio/2710633.stm
156,http://news.bbc.co.uk/1/hi/entertainment/5292394.stm
157,http://news.bbc.co.uk/1/hi/england/2536027.stm
158,http://news.bbc.co.uk/1/hi/uk/8602811.stm
159,http://news.bbc.co.uk/1/hi/world/south_asia/8557215.stm
160,http://news.bbc.co.uk/hi/english/entertainment/newsid_282000/282673.stm
161,http://news.bbc.co.uk/1/hi/programmes/the_daily_politics/4895926.stm
162,http://www.bbc.co.uk/news/uk-14274392
163,http://news.bbc.co.uk/hi/english/health/newsid_1846000/1846974.stm
164,http://news.bbc.co.uk/1/hi/uk_politics/8020039.stm
165,http://news.bbc.co.uk/1/hi/programmes/high_stakes/1138226.stm
166,http://news.bbc.co.uk/1/hi/wales/south_west/4150781.stm
167,http://news.bbc.co.uk/1/hi/wales/3688250.stm
168,http://news.bbc.co.uk/hi/english/uk/newsid_833000/833833.stm
169,http://news.bbc.co.uk/1/hi/programmes/newsnight/review/3624936.stm
170,http://news.bbc.co.uk/1/hi/health/7730039.stm
171,http://news.bbc.co.uk/1/hi/scotland/glasgow_and_west/7646028.stm
172,http://news.bbc.co.uk/1/hi/uk/7530582.stm
173,http://news.bbc.co.uk/1/hi/entertainment/film/3517819.stm
174,http://news.bbc.co.uk/1/hi/world/asia-pacific/3138806.stm
175,http://news.bbc.co.uk/1/hi/uk/7212423.stm
176,http://www.bbc.co.uk/scotland/islandblogging/blogs/005268/0000006549.shtml
177,http://news.bbc.co.uk/1/hi/uk/2785711.stm
178,http://news.bbc.co.uk/1/hi/entertainment/2733387.stm
179,http://news.bbc.co.uk/1/hi/uk/2247775.stm
180,http://news.bbc.co.uk/hi/english/entertainment/showbiz/newsid_1908000/1908555.stm
181,http://news.bbc.co.uk/hi/english/entertainment/showbiz/newsid_1907000/1907089.stm
182,http://news.bbc.co.uk/hi/english/uk/newsid_1818000/1818310.stm
183,http://news.bbc.co.uk/1/hi/health/6309619.stm
184,http://news.bbc.co.uk/1/hi/magazine/7947987.stm
185,http://news.bbc.co.uk/hi/english/uk/scotland/newsid_1458000/1458165.stm
186,http://news.bbc.co.uk/hi/english/health/newsid_1287000/1287736.stm
187,http://news.bbc.co.uk/1/hi/business/5169724.stm
188,http://news.bbc.co.uk/hi/english/entertainment/newsid_1166000/1166696.stm
189,http://news.bbc.co.uk/1/hi/magazine/7719522.stm
190,http://news.bbc.co.uk/1/hi/health/4587340.stm
191,http://news.bbc.co.uk/1/hi/world/europe/7281608.stm
192,http://news.bbc.co.uk/hi/english/entertainment/newsid_416000/416617.stm
193,http://news.bbc.co.uk/1/hi/business/4416029.stm
194,http://news.bbc.co.uk/1/hi/magazine/4326215.stm
195,http://news.bbc.co.uk/hi/english/entertainment/newsid_281000/281433.stm
196,http://news.bbc.co.uk/1/hi/talking_point/8679831.stm
197,http://news.bbc.co.uk/1/hi/programmes/newsnight/review/3632510.stm
198,http://news.bbc.co.uk/1/hi/uk_politics/3446855.stm
199,http://www.bbc.co.uk/blogs/digitalrevolution/2009/11/rushes-sequences-lee-tien-inte.shtml
200,http://news.bbc.co.uk/1/hi/magazine/3191713.stm
201,http://news.bbc.co.uk/1/hi/magazine/3191641.stm
202,http://news.bbc.co.uk/1/hi/entertainment/3158717.stm
203,http://news.bbc.co.uk/1/hi/magazine/3153245.stm
204,http://news.bbc.co.uk/1/hi/entertainment/3153325.stm
205,http://news.bbc.co.uk/1/hi/uk/3064167.stm
206,http://news.bbc.co.uk/1/hi/magazine/5245970.stm
207,http://news.bbc.co.uk/1/hi/in_depth/uk/2000/newsmakers/2829575.stm
208,http://news.bbc.co.uk/1/hi/education/4978630.stm
209,http://news.bbc.co.uk/1/hi/wales/2055318.stm
210,http://news.bbc.co.uk/1/hi/magazine/4152301.stm
211,http://news.bbc.co.uk/1/hi/programmes/real_story/4088466.stm
212,http://www.bbc.co.uk/news/technology-24441931
213,http://news.bbc.co.uk/1/hi/programmes/breakfast/3505628.stm
214,http://news.bbc.co.uk/1/hi/world/americas/3530141.stm
215,http://news.bbc.co.uk/1/hi/special_report/1999/10/99/information_rich_information_poor/472621.stm
216,http://news.bbc.co.uk/hi/english/uk/newsid_340000/340130.stm
217,http://news.bbc.co.uk/hi/english/world/from_our_own_correspondent/newsid_272000/272265.stm
218,http://news.bbc.co.uk/hi/english/uk/newsid_192000/192870.stm
219,http://news.bbc.co.uk/hi/english/entertainment/newsid_166000/166821.stm
220,http://news.bbc.co.uk/1/hi/magazine/8415003.stm
221,http://news.bbc.co.uk/hi/english/entertainment/newsid_173000/173230.stm
222,http://news.bbc.co.uk/1/hi/magazine/7114828.stm
223,http://www.bbc.co.uk/news/world-us-canada-14439342
224,http://www.bbc.co.uk/news/world-europe-14372195
225,http://news.bbc.co.uk/1/hi/magazine/3659071.stm
226,http://news.bbc.co.uk/1/hi/sci/tech/1887467.stm
227,http://www.bbc.co.uk/news/uk-scotland-14545885
228,http://news.bbc.co.uk/1/hi/magazine/3683752.stm
229,http://news.bbc.co.uk/1/hi/scotland/4676013.stm
230,http://news.bbc.co.uk/1/hi/health/4080424.stm
231,http://news.bbc.co.uk/1/hi/health/8232555.stm
232,http://www.bbc.co.uk/news/uk-11633494
233,http://www.bbc.co.uk/blogs/theeditors/2009/01/newsbeat_and_1xtra_listeners_h.html
234,http://news.bbc.co.uk/1/hi/programmes/panorama/7092317.stm
235,http://www.bbc.co.uk/news/uk-politics-parliaments-37871712
236,http://news.bbc.co.uk/1/hi/magazine/5294836.stm
237,http://www.bbc.co.uk/news/blogs-echochambers-26059064
238,http://news.bbc.co.uk/hi/english/business/newsid_1531000/1531355.stm
239,http://news.bbc.co.uk/1/hi/world/africa/8375291.stm
240,http://news.bbc.co.uk/onthisday/hi/witness/january/1/newsid_4542000/4542042.stm
