Group Name,Address,Town / City,State,Zipcode,Phone,Time
Saranalayam Group,"Church of Our Lady of Glory, Pulicat, Near Ponneri, Triuvallur Dist",Chennai,Tamil Nadu,600120,09566004382,Sun 8.00 pm
Andavan Arul Group,"Govt. Library, Sridevi Nagar, Hitipet",Chennai,Tamil Nadu,600120,08148327778,Tue 6.30 pm
Vasantham Group,"CSI Church, Bye Pass Rd , Gummidipoondi",Chennai,Tamil Nadu,600060,-,Thu 6.30 pm
New Good Life Group,"CSI Church, Bye Pass Road, Gummaiponai",Chennai,Tamil Nadu,600038,09944405551,Mon 7.00 pm
Costal Group,"Shrine Annai Vellankanni Church, Elliats Beach Road, Bessant Nagar",Chennai,Tamil Nadu,600090,09884461622,Fri 6.45 pm
Miracle Group,"St. Antonyar Alayakm, S.M.Nagar, Vyasarpadi",Chennai,Tamil Nadu,600039,09094045937,Fri 7.00 pm
Thinking Group,"Annai Velankanni Church, Sharma Nagar, Vyasarpadi",Chennai,Tamil Nadu,600039,09962839667,Tue 6.30 pm
Redemption Group,"St. Joseph Mat. HR. Sec. School, Opp. Veterinary College Veppery",Chennai,Tamil Nadu,600007,09385544793,Tue 7.00 pm
Care Group,"Zion church, Arunachalam street, Chintadripet, Next to F1 police station",Chennai,Tamil Nadu,600002,09941353541,Fri 7.00 pm
New Arisen Group,"St. Anthony Church, Richie Street, Narasapuram",Chennai,Tamil Nadu,600002,09941947335,Tue 7.00 pm
Brothers Group,"St. Francis Xavier Church, Broadway,",Chennai,Tamil Nadu,600108,09884157180,Sun 6.00 pm
Wisdom Group,"Singaram Pillai Boys Hr Sec. School, 1 MTH Road, Near Burial Gr Villivakkam",Chennai,Tamil Nadu,600049,08148742446,Fri 7.00 pm
New Way Group,"Police Quarters, Nr. Padmanabha Theatre, Kodithope",Chennai,Tamil Nadu,600079,09840144009,Wed 7.00 pm
Malarum Vazhu Group,"Chennai Corporatio School, Arunachalam St, Chepauk",Chennai,Tamil Nadu,600005,07904297470,Thu 7.00 pm
Aravanaippu Group,"Don Bosco Social Service Centre, Dr. Ambedkar Nagar, Decastor Rd, Puliyanthope",Chennai,Tamil Nadu,600012,09884773939,Sat 7.00 pm
Clear Water Group,"Anglo Indian Association, Opp. Albert Theatre, Ponniamman Street Egmore",Chennai,Tamil Nadu,600008,09884136593,Wed 7.00 pm
Pioneer Group,"Community Service Centre, 17 Balfour Road, Kilpauk",Chennai,Tamil Nadu,600010,09941848108,Sat 7.00 pm
SOS Group,Meston Collage Royapettah Near Royapettah Clock Tower,Chennai,Tamil Nadu,600014,09884040517,Mon 7.00 pm
Sacrifice Group,"Presentation Church, Jhonihony Khan Road, Meersahipet. Royapetta",Chennai,Tamil Nadu,600014,09941115319,Sat 7.00 pm
Thy Will Group,"Presentation Church, Johny khan Road, Meersahipet, Royapetta",Chennai,Tamil Nadu,600014,09841332303,Sun 7.00 pm
Murumulachi Group,"No. 2 SJ Trust near Dr. Ambekdar statue, Gudiyattam",Vellore,Tamilnadu,632602,MS. Gugan - 09600573773,Wed 7.00 pm
Shelter Of Love Group,"Siga Polytechnic College, Tayors Road, Kilpauk",Chennai,Tamil Nadu,600010,08939961600,Mon 7.00 pm
Unity Group,"St. Teresa Church, Nungambakkkam High Rd",Chennai,Tamil Nadu,600034,09962290912,Sun 10.30 am
Hope Group,"Alagu Muthu Mariamman Koil Hall, Periyar Road, Annanagar, Korrukupet",Chennai,Tamil Nadu,600021,09884101008,Sat 7.00 pm
Unity Group,"St. Joseph School, 18th West Cross Street, M.K.B. Nagar,",Chennai,Tamil Nadu,600039,09790746369,Mon 7.00 pm
Mercy Group,"St. Antonyar Alayakm, S.M.Nagar, Vyasarpadi",Chennai,Tamil Nadu,600039,09710002436,Sun 4.30 pm
Surrender Group,"St. Mary Church, Don Bosco School, Vyasarpadi",Chennai,Tamil Nadu,600012,08608750723,Thu 7.00 pm
Green Way Group,"CSI Ulaga Meetpar Church, East Kalamandapam Road, Royapuram",Chennai,Tamil Nadu,600013,09841551370,Tue 7.00 pm
Gods Grace Group,"St. Lourdes Mary Church, Muttukadu",Chennai,Tamil Nadu,603110,09962765042,Wed 7.00 pm
Kadavul Pidimanam Group,"Rukmani Vidyalaya Matric H S School, Shanmurapuram, Thiruvotriyur",Chennai,Tamil Nadu,600019,09556078066,Mon 6.30 pm
Recovery Group,"ECI Church, Pushpa Nagar, Nungambakkam",Chennai,Tamil Nadu,600021,09940282990,Mon 7.00 pm
Spiritual Service Group,"CSI Christ Church, 1st Steet, Nethaji Nagar, Tondiarpet",Chennai,Tamil Nadu,600081,07358440965,Fri 7.00 pm
Sun Shine Group,"Luz Church, Luz, Mylapore",Chennai,Tamil Nadu,600004,"Mon 09444459082, Wed 09940372597","Monday, Wednesday 7.00 pm"
Honest Group,"CSI Church, Jeeva Railway Station, Vyasarpadi",Chennai,Tamil Nadu,600039,09840756346,Fri 7.00 pm
Freedom Group,"St. Joseph Church, Balayakarar Steet, Porur",Chennai,Tamil Nadu,600116,09840865669,Thu 7.00 pm
Service Group,"Railway Hospital Chest Ward, Perambur",Chennai,Tamil Nadu,600011,09962998234,Sun 11.00 am
Sober Path Group,"Nimal School, Solai Amman Kovil Street, Aynavaram",Chennai,Tamil Nadu,600023,09962355279,Tue 7.00 pm
Service Group,"CSI Peranbar Church, Govindan Street, Ayyavoo Naidu Colony, Aminjikarai",Chennai,Tamil Nadu,600029,07200499923,Thu 7.00 pm
Mayflower Group,"St. James Church, Nursery School, United India Nagar, Ayanvaram",Chennai,Tamil Nadu,600023,07871458035,Mon 7.00 pm
Steps to  Soberity Group,"St. James Church, Nursery School, United India Colony, Aynavaram",Chennai,Tamil Nadu,600023,08608531014,Thu 7.00 pm
Nalam Nitchayam Group,"St. Rorqes Church, Cementry Road, Old Washerment",Chennai,Tamil Nadu,600021,09094204957,Sun 10.30 am
Freedom Group,"Palvadi School, Palavayal Main Road, Red hills",Chennai,Tamil Nadu,600052,07395974509,Tue 7.00 pm
Three Way Group,"Karnataka Hr.Sec School , Habibullah road, T.Nagar",Chennai,Tamil Nadu,600017,09444422469,Tue 7.00 pm
Three Way Group,"Karnataka Hr, Sec School, HabibullahRoad, T Nagar",Chennai,Tamil Nadu,600017,09444422469,Sat 7.00 pm
Courage Group,"Kesari High School, Giriappa Road, T Nagar",Chennai,Tamil Nadu,600017,08825565330,Sun 7.00 pm
Higher Power Group,"P.S. Hr Secondary School, Mylaporei",Chennai,Tamil Nadu,600004,09941099428,Sat 7.00 pm
Conscience Group,"Santhom High Road, Mylapore",Chennai,Tamil Nadu,600004,09789962294,Thu 7.00 pm
Sober Path Group,"Corporation School, MKM Koil St, Mylapore",Chennai,Tamil Nadu,600004,09003112139,Wed 7.00 pm
Rainbow Group,"CSI School for Deaf, Santhom High Road, Mylapore",Chennai,Tamil Nadu,600004,09094828099,Fri 7.00 pm
New Power Group,"Vaanmalar Lutheran Church, Eldams Road, Tenampet",Chennai,Tamil Nadu,600018,09092007076,Mon 7.00 pm
Right Time Right Place Group,"Indian Council of Child Welfare, 3rd Main Road West, Shenoy Nagar",Chennai,Tamil Nadu,600030,09790987359,Fri 7.00 pm
Divine Love Group,"St.Vincent School, 4th Street, Railway Colony, Aminjikarai",Chennai,Tamil Nadu,600029,09940285846,Sat 7.00 pm
Tower Group,"Church of Christ, New Tower, W 76, Anna Nagar, West",Chennai,Tamil Nadu,600040,09500144425,Thu 7.00 pm
Sea Side Group,"Santhom Hr Sec School, Santhom High Road, Mylapore",Chennai,Tamil Nadu,600004,09840176653,Tue 7.00 pm
Kitchen Table Group,"Railway Stadium Church, perambur",Chennai,Tamil Nadu,600011,09444649749,Tue 7.00 pm
Liberty Group,"Raison Redeemers Church, United India Colony, Kodambakkam Near Liberty Theatre",Chennai,Tamil Nadu,600024,09841029998,Mon 7.00 pm
Prakasam Group,"All India RBF Association, ICE Division Opp. Shell Factory",Chennai,Tamil Nadu,600082,07299616772,Wed 7.00 pm
VETTRI NICHAYAM,"BARACKA PENTACOST CHURCH, MAHAVEER AVENUE KANNADASAN NAGAR,TIRUVALLUR",TIRUVALLUR,Tamilnadu,600118,9791445411,Fri 7.00 pm
Amends Group,"CSI Church, Moolakadi, Madavaram, Near KVT Hospital",Chennai,Tamil Nadu,600118,09791082669,Wed 7.00 pm
Welcome Group,"Loyola Mat Hr Sec School, United India Colony, 4th Cross Street",Chennai,Tamil Nadu,600024,09840582890,Wed 7.00 pm
Seed Of Hope Group,"Kesari High School, Nr. G.R.T. Grand Days Hotels, T Nagar",Chennai,Tamil Nadu,600017,Subramani - 09444612121,Fri 7.00 pm
Road To Recovery Group,"Near Anna Tower, Anna Nagar",Chennai,Tamil Nadu,600040,09840027194,Tue 7.00 pm
Stepping Stone Group,"ICF RPF Association Building, Opp ICF Shell Office ICF",Chennai,Tamil Nadu,600038,09094319243,Fri 7.00 pm
Vidivelli Group,"Assembly of God Church, 100 feet Road, S.R.Tiles, Arumbakkam",Chennai,Tamil Nadu,600106,09566165421,Fri 7.00 pm
Prayer Group,"E.C.I. Church, Dr Ambedkar St, Arumbakkam",Chennai,Tamil Nadu,600106,08939829855,Tue 7.00 pm
Second Step Group,"ECI. Church, Dr Ambedkar Street, Arumbakkam",Chennai,Tamil Nadu,600106,08939961600,Wed 7.00 pm
One Day Life Group,"Muthu Mariamman Koil, Dr.Raarathinam 1st Main Road, Kodungaiyur",Chennai,Tamil Nadu,600081,09094539913,Wed 7.00 pm
Share and Care Group,"Glory Church, MMDA Colony Arumbakkam",Chennai,Tamil Nadu,600106,09791068222,Mon 7.00 pm
Spiritual Foundation Group,"Kamarajar School, West Thanigachalam Nagar, Near Kumar Nagar Bus Depot",Chennai,Tamil Nadu,600110,09841089007,Wed 7.00 pm
Serenity Group,"Shrine Of Divine Mercy Church, Anna Nagar, East, Behind Chindamani Signal",Chennai,Tamil Nadu,600040,Sridhar - 09840968858,Wed 7.00 pm
New Life Group,"Bethesda Swimming School, Elaya Mudali Street, Tondiarpet",Chennai,Tamil Nadu,600081,09841543998,Tue 7.00 pm
Sobriety Group,"Christ The King Church, 24th Street, GKM Colony",Chennai,Tamil Nadu,600082,09597099597,Tue 7.00 pm
Spirtual Growth Group,"Gurumurty School, R V Nagar, Kodungaiyur",Chennai,Tamil Nadu,600118,09840564636,Mon 7.00 pm
First Step Group,"E.C.I. CHURCH, Dr, Ambedkar Street, Arumbakkkam",Chennai,Tamil Nadu,600106,08939961600,Sun 11.00 am
Humility Group,"St. Sebastian Church, Madhavaram High Road",Chennai,Tamil Nadu,600060,09381342131,Thu 7.00 pm
Trusted Servant Group,"ECI Arthutham Church, Govindan Road, Mettupalayam junction, West Mambalam",Chennai,Tamil Nadu,600033,09003142040,Wed 7.00 pm
Puthiya Aanma Group,"Singarampillai Primary Schl, Devar St, Villiwalkam",Chennai,Tamil Nadu,600049,09884136561,Wed 7.00 pm
Faith Group,"Singarampilai Hr Sec School, MTH Road, Villwalkam",Chennai,Tamil Nadu,600049,07845783991,Sun 7.00 pm
God Chosen Group,"Baba Nagar, Villiwakkam, Chennai",Chennai,Tamil Nadu,600049,09884991860,Mon 7.00 pm
Fourth Dimension Group,"Kaveri Hr, Sec School, Kalangar Karunanithi Salai, Super Good Films, Arugil, Saligramam",Chennai,Tamil Nadu,600093,09841970780,Wed 7.00 pm
Way To Recovery Group,"Karthikeyan Palli, Arunachalam Road, Opp Prasap Tap, Saligramam",Chennai,Tamil Nadu,600093,09003111903,Sat 7.00 pm
Stead Fast Group,"Church of Victorias Cross, Jawharlal Nehru Road, Ashok Nagar",Chennai,Tamil Nadu,600083,09840870877,Thu 7.00 pm
Recovery Group,"Dr. MGR Janaki Mat School, Arcot Rd, Saligramam",Chennai,Tamil Nadu,600103,09444671681,Tue 7.00 pm
Daily Reprieve Big Book MTG,"Patrician College Gandhi Nagar,  Adyar, Chennai",Chennai,Tamilnadu,600020,09176511350,Sunday 6.30 pm
Daily Reprieve Group,"St. Louis Church, Canal Bank Road, Gandhi Nagar, Adyar, Old Adyar Cancer Hospital",Chennai,Tamil Nadu,600020,09176511350,Fri 7.00 pm
Positive Group.,"CST Arul Church, Madhavaram",Tiruvallur,Tamil Nadu,600060,Prakash - 09840462663,Sat 7.00 pm
Positive Group,"CSI Arul Church, MRH Road, Madavaram",Tiruvallur,Tamil Nadu,600060,09840462663,Sat 7.00 pm
Back To Basics Group,"ECI Church, Padikuppam Road, Anna Nagar,Behind Waves Showroom",Chennai,Tamil Nadu,600102,09840968858,Mon 7.00 pm
Miracle Group,"Chinmay Nagar Main Road, Police Boys Club, Nr. Petrol Bunk Koyambedu",Chennai,Tamil Nadu,600017,09962715652,Sun 7.00 pm
Annai Group,"Vinayagar St, Natesan Nagar, Virugabakkam",Ponneri,Tamil Nadu,600092,08610842275,Tue 7.00 pm
Miracle Friday Group,"Chinmiya Lions Club, Nerkundram Main Road, Chinmaiya Nagar",Chennai,Tamil Nadu,600092,09382311180,Fri 7.00 pm
Path Of Light Group,"Annai Velankini Church, Besant Nagar",Chennai,Tamil Nadu,600090,09841546162,Wed 6.45 pm
Living Sober Group,"Police Boys Club, Elango Nagar, Virugambakkam",Chennai,Tamil Nadu,600092,09840938633,Thu 7.00 pm
New Faith Group,"Immanuel Church, Perumal Kovil Street, Nerkundram",Chennai,Tamil Nadu,600107,09003698495,Mon 7.00 pm
New Power Group,"Santhosh Primery Metric School, D Block, 3rd Floor",Chennai,Tamil Nadu,600060,09551306404,Thu 7.00 pm
Uayam Group,"Velankanni Church, Besant Nagar",Chennai,Tamil Nadu,600090,09092892477,Mon 7.00 pm
Acceptance Group,"E.C.I. Zion Church, 96 Jawaharlal Nehru Road Ekattuthangal",Chennai,Tamil Nadu,600097,"08754512395, 09840975365",Saturday 7:00 to 8:30 PM
Spiritual Way Group,"St. Arokkiya Annai  Alayam, Vivekanandan St, Lakshmipurm, Rettai Eri",Chennai,Tamil Nadu,600099,-,Thu 7.00 pm
Gods Grace Group,"Nivedha Vidyalaya Matric H S School, 10th Street, Kalaignar Nagar, Thiruvotriyur",Chennai,Tamil Nadu,600019,09566078066,Wed 7.00 pm
Faith Group,"Madha Kovil Steet, Nerkundram, Opp Bone Company",Chennai,Tamil Nadu,600107,09962715652,Sat 7.00 pm
